"tier","regime","pattern","n_rows","n_cols","method","auto_method","auto_rule","instances","median_s","q25_s","q75_s"
"base","metric_uniform","random_60",500,1500,"auction_scaled","jv","default",3,0.2791258,0.27313435,0.3014663
"base","metric_uniform","random_60",500,500,"auction_scaled","jv","default",3,0.006823958,0.006768239,0.007019118
"base","metric_uniform","random_60",500,5000,"auction_scaled","jv","default",3,3.525974,3.500359,3.794181
"base","tied","block_4",500,1500,"auction_scaled","jv","default",3,0.1669121,0.16626275,0.16956695
"base","tied","block_4",500,500,"auction_scaled","jv","default",3,0.004148585,0.00408278,0.0042547545
"base","tied","block_4",500,5000,"auction_scaled","jv","default",3,2.663847,2.594753,2.737511
"base","tied","none",500,1500,"auction_scaled","jv","default",3,0.1496609,0.1463832,0.1516994
"base","tied","none",500,500,"auction_scaled","jv","default",3,0.01384779,0.01364281,0.0145041
"base","tied","none",500,5000,"auction_scaled","jv","default",3,1.86265,1.8391595,1.896983
"base","tied","random_01",500,1500,"auction_scaled","jv","default",3,0.288563,0.28708895,0.30079055
"base","tied","random_01",500,500,"auction_scaled","jv","default",3,0.001850617,0.0015659745,0.001935282
"base","tied","random_01",500,5000,"auction_scaled","jv","default",3,2.753227,2.6723305,2.770419
"base","tied","random_05",500,1500,"auction_scaled","jv","default",3,0.1485862,0.14679055,0.14917835
"base","tied","random_05",500,500,"auction_scaled","jv","default",3,0.004187494,0.0041126075,0.004328247
"base","tied","random_05",500,5000,"auction_scaled","jv","default",3,2.353231,2.1927305,2.446835
"base","tied","random_25",500,1500,"auction_scaled","jv","default",3,0.1387049,0.12917595,0.14138705
"base","tied","random_25",500,500,"auction_scaled","jv","default",3,0.00638862,0.00616025,0.006841957
"base","tied","random_25",500,5000,"auction_scaled","jv","default",3,1.748212,1.718692,1.811206
"base","tied","random_60",500,1500,"auction_scaled","jv","default",3,0.142432,0.13698435,0.1468081
"base","tied","random_60",500,500,"auction_scaled","jv","default",3,0.01152334,0.01087447,0.01162797
"base","tied","random_60",500,5000,"auction_scaled","jv","default",3,1.517774,1.505177,1.7018235
"base","binary","block_4",500,1500,"auto","hk01","no_cost_scale",3,0.004917622,0.004844642,0.0053119805
"base","binary","block_4",500,500,"auto","hk01","no_cost_scale",3,0.002059471,0.0018685545,0.0020615005
"base","binary","block_4",500,5000,"auto","hk01","no_cost_scale",3,0.01928095,0.017727725,0.021225105
"base","binary","none",500,1500,"auto","hk01","no_cost_scale",3,0.01083253,0.01076074,0.01086873
"base","binary","none",500,500,"auto","hk01","no_cost_scale",3,0.003729606,0.003721939,0.003735674
"base","binary","none",500,5000,"auto","hk01","no_cost_scale",3,0.03555922,0.035540665,0.035622605
"base","binary","random_01",500,1500,"auto","hk01","no_cost_scale",3,0.003311939,0.003298163,0.00394092
"base","binary","random_01",500,500,"auto","hk01","no_cost_scale",3,0.004556453,0.0045407295,0.005459396
"base","binary","random_01",500,5000,"auto","hk01","no_cost_scale",3,0.01208565,0.01207333,0.01406013
"base","binary","random_05",500,1500,"auto","hk01","no_cost_scale",3,0.005239021,0.0046084615,0.0052599925
"base","binary","random_05",500,500,"auto","hk01","no_cost_scale",3,0.00187288,0.001860088,0.0019975405
"base","binary","random_05",500,5000,"auto","hk01","no_cost_scale",3,0.01784099,0.01565118,0.01784263
"base","binary","random_25",500,1500,"auto","hk01","no_cost_scale",3,0.008149693,0.0080543065,0.0086380235
"base","binary","random_25",500,500,"auto","hk01","no_cost_scale",3,0.003213252,0.0031719035,0.0035671845
"base","binary","random_25",500,5000,"auto","hk01","no_cost_scale",3,0.0304131,0.030378005,0.03043118
"base","binary","random_60",500,1500,"auto","hk01","no_cost_scale",3,0.01252439,0.012449855,0.01275924
"base","binary","random_60",500,500,"auto","hk01","no_cost_scale",3,0.004446942,0.0043636095,0.004447967
"base","binary","random_60",500,5000,"auto","hk01","no_cost_scale",3,0.04157064,0.041439215,0.041747985
"base","constant","block_4",500,1500,"auto","hk01","no_cost_scale",3,0.003593076,0.0035891195,0.005386088
"base","constant","block_4",500,500,"auto","hk01","no_cost_scale",3,0.001288138,0.001287933,0.001291787
"base","constant","block_4",500,5000,"auto","hk01","no_cost_scale",3,0.0121727,0.01214324,0.01219463
"base","constant","none",500,1500,"auto","hk01","no_cost_scale",3,0.004967806,0.0049658995,0.004997203
"base","constant","none",500,500,"auto","hk01","no_cost_scale",3,0.00177735,0.001777227,0.0017820855
"base","constant","none",500,5000,"auto","hk01","no_cost_scale",3,0.01681168,0.01675969,0.01682755
"base","constant","random_01",500,1500,"auto","hk01","no_cost_scale",3,0.004465187,0.003843545,0.0044858305
"base","constant","random_01",500,500,"auto","hk01","no_cost_scale",3,0.00159654,0.0013754065,0.0016002915
"base","constant","random_01",500,5000,"auto","hk01","no_cost_scale",3,0.01587323,0.01585681,0.015907935
"base","constant","random_05",500,1500,"auto","hk01","no_cost_scale",3,0.005012086,0.004369985,0.005019876
"base","constant","random_05",500,500,"auto","hk01","no_cost_scale",3,0.001361405,0.0013578585,0.001374853
"base","constant","random_05",500,5000,"auto","hk01","no_cost_scale",3,0.0168576,0.01478745,0.01687242
"base","constant","random_25",500,1500,"auto","hk01","no_cost_scale",3,0.007630674,0.007618497,0.0076534085
"base","constant","random_25",500,500,"auto","hk01","no_cost_scale",3,0.002707476,0.002697308,0.0031115925
"base","constant","random_25",500,5000,"auto","hk01","no_cost_scale",3,0.02551705,0.02549497,0.02555889
"base","constant","random_60",500,1500,"auto","hk01","no_cost_scale",3,0.00960876,0.0092971395,0.0096141925
"base","constant","random_60",500,500,"auto","hk01","no_cost_scale",3,0.003415833,0.0033657515,0.003433586
"base","constant","random_60",500,5000,"auto","hk01","no_cost_scale",3,0.0325164,0.03132117,0.03600946
"base","dbl_uniform","block_4",500,1500,"auto","jv","default",3,0.004712212,0.004228248,0.005313805
"base","dbl_uniform","block_4",500,500,"auto","jv","default",3,0.004081345,0.0038249105,0.004492862
"base","dbl_uniform","block_4",500,5000,"auto","jv","default",3,0.01214457,0.012131575,0.013758145
"base","dbl_uniform","none",500,1500,"auto","jv","default",3,0.004105658,0.0039748475,0.004120213
"base","dbl_uniform","none",500,500,"auto","jv","default",3,0.003200091,0.003171432,0.003825382
"base","dbl_uniform","none",500,5000,"auto","jv","default",3,0.01154544,0.011530205,0.011652245
"base","dbl_uniform","random_01",500,1500,"auto","jv","default",3,0.005012004,0.0050100975,0.0054066495
"base","dbl_uniform","random_01",500,500,"auto","jv","default",3,0.006364799,0.0061008615,0.006888943
"base","dbl_uniform","random_01",500,5000,"auto","jv","default",3,0.01264649,0.012535215,0.014683535
"base","dbl_uniform","random_05",500,1500,"auto","jv","default",3,0.005396215,0.0047960775,0.0054153825
"base","dbl_uniform","random_05",500,500,"auto","jv","default",3,0.007360853,0.006864548,0.0080513955
"base","dbl_uniform","random_05",500,5000,"auto","jv","default",3,0.0178988,0.01782297,0.017914585
"base","dbl_uniform","random_25",500,1500,"auto","jv","default",3,0.007356712,0.0068728915,0.0073851865
"base","dbl_uniform","random_25",500,500,"auto","jv","default",3,0.009004953,0.008629434,0.009501176
"base","dbl_uniform","random_25",500,5000,"auto","jv","default",3,0.02359378,0.021713295,0.02361668
"base","dbl_uniform","random_60",500,1500,"auto","jv","default",3,0.008536446,0.008533125,0.0086127675
"base","dbl_uniform","random_60",500,500,"auto","jv","default",3,0.009186337,0.008705079,0.0098625685
"base","dbl_uniform","random_60",500,5000,"auto","jv","default",3,0.02494821,0.0249469,0.02496705
"base","heavy_tailed","block_4",500,1500,"auto","jv","default",3,0.003711976,0.0036953915,0.003731041
"base","heavy_tailed","block_4",500,500,"auto","jv","default",3,0.004470476,0.004244443,0.0045335955
"base","heavy_tailed","block_4",500,5000,"auto","jv","default",3,0.01239787,0.01222975,0.013911545
