"tier","regime","pattern","n_rows","n_cols","instance","seed","method","rep","seconds","status","total_cost","n_matched","auto_method","auto_rule","cost_type","distribution","metric","components","finite_share"
"base","int_uniform","random_60",500,500,1,532951458,"ramshaw_tarjan",2,0.02368525,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"ramshaw_tarjan",3,0.02273516,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"hungarian",1,0.00981622,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"hungarian",2,0.009241195,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"hungarian",3,0.009199539,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"auction_scaled",1,0.009972348,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"auction_scaled",2,0.009013522,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"auction_scaled",3,0.009001509,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"csa",1,0.009698673,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"csa",2,0.008691549,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"csa",3,0.008653214,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"csflow",1,0.0202426,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"csflow",2,0.01721561,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"csflow",3,0.01709864,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"network_simplex",1,0.1088452,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"network_simplex",2,0.1067472,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,1,532951458,"network_simplex",3,0.1070615,"ok",26363,500,"jv","default","integer","uniform",FALSE,1,0.5999
"base","int_uniform","random_60",500,500,2,532951459,"auto",1,0.0104049,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"auto",2,0.009653573,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"auto",3,0.009623151,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"jv",1,0.01050805,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"jv",2,0.009629301,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"jv",3,0.009684897,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"sap",1,0.01755727,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"sap",2,0.01593203,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"sap",3,0.01591189,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
"base","int_uniform","random_60",500,500,2,532951459,"sap_dense",1,0.02172172,"ok",28132,500,"jv","default","integer","uniform",FALSE,1,0.6012
