"tier","regime","pattern","n_rows","n_cols","instance","seed","method","rep","seconds","status","total_cost","n_matched","objective","duality_gap","max_suboptimality","certified_optimal","primal_feasible","all_rows_matched","structurally_valid","auto_method","auto_rule","cost_type","distribution","metric","components","finite_share"
"base","int_uniform","none",500,500,2,75350317,"jv",4,0.004465146,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"jv",5,0.00484702,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"sap",1,0.02501746,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"sap",2,0.02183029,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"sap",3,0.02075252,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"sap",4,0.02027979,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"sap",5,0.02068233,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"sap_dense",1,0.01166889,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"sap_dense",2,0.01118738,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"sap_dense",3,0.01117086,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"sap_dense",4,0.01276543,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"sap_dense",5,0.01150325,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"lapmod",1,0.01255937,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"lapmod",2,0.01216122,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"lapmod",3,0.01217667,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"lapmod",4,0.01258138,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
"base","int_uniform","none",500,500,2,75350317,"lapmod",5,0.01212374,"ok",16710,500,16710,0,1.72155623098487e-11,TRUE,TRUE,TRUE,TRUE,"jv","default","integer","uniform",FALSE,1,1
